x,y,hue,cat,location,name
-46.621746,-1.3674629,5,"Biotechnology, Health Care, Life Science, Machine Learning, Therapeutics",Bay Area,Odyssey Therapeutics
-7.7485223,-1.2865502,5,"Information Technology, Messaging",Bay Area,IoT/AI
-12.563872,43.7235,5,"Human Resources, Machine Learning, SaaS",Bay Area,Herman
22.101038,-21.606163,5,"Information Technology, Machine Learning",Bay Area,ProPair
-21.469213,-31.287289,5,"Internet of Things, Machine Learning, Social Network",Bay Area,Spotmi
30.204275,24.74518,5,"Information Technology, Software",Bay Area,AutonicX
-10.648676,43.8603,5,"Blockchain, FinTech, Machine Learning, Non Profit, Social Entrepreneurship, Social Impact",Bay Area,Eirium Technologies
7.275255,26.080868,5,"FinTech, Health Care, InsurTech",Bay Area,Well Advised
-15.470167,-25.255783,5,"Big Data, Developer APIs",Bay Area,Lexeme
26.038584,-0.511435,5,"Health Care, Health Diagnostics, Information Technology, Software",Bay Area,Neosona
20.70904,-21.655283,5,"Analytics, Customer Service, Data Integration, Data Mining, Developer APIs, Information Technology, IT Management, Machine Learning, Predictive Analytics, Software",Bay Area,The AI Company
8.797128,4.795576,5,"Big Data, Cloud Computing, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Consulting, Data Center Automation, Data Integration, Internet of Things, Machine Learning, Software Engineering",Bay Area,Astellent
-3.954247,2.1029806,5,"Consulting, Email Marketing, Machine Learning",Bay Area,Oxygen AI
1.8338059,-12.619585,4,"Analytics, Big Data, Cloud Data Services, Data Integration, Data Storage, Machine Learning",New York,Mekl
2.444844,-15.056829,4,"Biotechnology, Health Care, Software, Telecommunications",New York,Akila Labs Inc
3.3680763,-15.731883,0,"Big Data, Health Care, Machine Learning, Personal Health, Personalization",Austin,Vytalyx
-43.891785,-5.697467,3,"Brand Marketing, Business Intelligence, Information Technology, Machine Learning, Marketing, Predictive Analytics, Retail Technology, SaaS, Social Impact",Boston,Because Intelligence
5.2777686,20.596687,5,Delivery,Bay Area,Tortoise AI
9.311883,-45.47026,5,"Information Technology, Machine Learning, SaaS, Software",Bay Area,Genie Squad
7.2214913,7.3909926,5,Artificial Intelligence,Bay Area,CAD It App
-11.306723,45.97397,2,"Health Care, Information Technology",Los Angeles,Carenodes
-26.733559,7.3953056,5,"Hospitality, Software, Travel, Virtual Assistant",Bay Area,ConciergeBot
-16.722565,-23.227097,5,"Developer APIs, Enterprise Software, Machine Learning, SaaS",Bay Area,Kite AI
-30.598658,26.78191,3,"Education, Human Resources, Information Technology, Machine Learning, Software",Boston,SocialMap
25.161102,-23.238384,5,"Ediscovery, Leisure, Tourism, Travel",Bay Area,Trvise
7.2220883,7.3881264,5,"Health Care, Personal Health",Bay Area,Doctor Hazel
12.010912,-50.497963,0,"Cyber Security, Data Integration, Electronics, Machine Learning, Marine Transportation",Austin,Fathom5
7.849205,8.261353,4,"Information Technology, Software",New York,AIKIT Digital
-8.273437,-3.0825422,5,"Big Data, Computer Vision, Image Recognition, Information Technology, Machine Learning",Bay Area,Enigma Pattern Inc.
2.758949,22.091,4,"Venture Capital, Virtual Assistant",New York,Venture Picker
-18.61099,-23.704218,5,"Machine Learning, Natural Language Processing, Video",Bay Area,California Communications
-22.555275,-34.57208,4,"E-Learning, EdTech, Education",New York,Altversity
-18.71422,-24.129297,5,"Analytics, Computer Vision",Bay Area,Aspiricx
-27.87506,8.666843,5,"Augmented Reality, Computer Vision, E-Commerce, Machine Learning",Bay Area,Pointshop
-10.929643,42.125423,5,"Consulting, Social Network",Bay Area,Whosup
-0.13022237,-12.358098,3,"Collaboration, Virtual Assistant",Boston,RaeNotes
5.296119,20.594618,5,"Ad Network, Advertising, Advertising Platforms, Machine Learning, SaaS, Software",Bay Area,Trustium
-43.89291,-5.6963263,5,"Education, Machine Learning, Software",Bay Area,Tarteel
-15.995205,-27.145525,4,"Meeting Software, Mobile Apps, Productivity Tools",New York,imeetify
11.951524,-49.82225,0,"Apps, Big Data, Internet, Machine Learning, Mobile Apps",Austin,Mindful
-32.170937,28.440954,5,"Information Technology, Mobile, Mobile Apps",Bay Area,SublimeAI
5.2942934,20.594257,5,"Advertising, Analytics, Big Data, Marketing",Bay Area,Adhance.io
10.640726,8.490263,5,"Information Technology, Security",Bay Area,Forsight
5.628781,22.445852,4,"Analytics, Artificial Intelligence",New York,Lilius
-10.665247,43.871326,5,"Fertility, Health Care, Health Diagnostics, Information Technology, Software",Bay Area,Sincere Labs
9.0985565,4.802448,2,"Content Discovery, Enterprise Software, Film, Internet, Machine Learning, Media and Entertainment, SaaS, TV",Los Angeles,Streamlytics
-16.697521,-23.239698,2,"Analytics, Information Technology, Internet, Machine Learning, Retail, Robotics, Small and Medium Businesses, Software",Los Angeles,Type W
21.730837,-22.95682,5,Artificial Intelligence,Bay Area,Toswo
11.866925,-47.191704,4,"Big Data, Information Technology, Insurance",New York,Benjamin
-44.00834,-4.269945,5,"Events, Mobile, SaaS, Social Media",Bay Area,Tell Em'
-15.464465,-25.280968,0,Software,Austin,OsmosisAI
